dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,8,4,354,159,2.226415,43,0.27044,0.278302
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,8,5,354,156,2.269231,47,0.301282,0.283654
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,8,6,354,155,2.283871,59,0.380645,0.285484
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,8,7,354,154,2.298701,65,0.422078,0.287338
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,8,8,354,154,2.298701,72,0.467532,0.287338
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,8,1,2,8,4,354,159,2.226415,36,0.226415,0.278302
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,8,1,2,8,5,354,156,2.269231,45,0.288462,0.283654
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,8,1,2,8,6,354,155,2.283871,58,0.374194,0.285484
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,8,1,2,8,7,354,154,2.298701,65,0.422078,0.287338
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,8,1,2,8,8,354,154,2.298701,72,0.467532,0.287338
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,4,354,153,2.313725,40,0.261438,0.289216
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,5,354,153,2.313725,67,0.437908,0.289216
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,6,354,152,2.328947,69,0.453947,0.291118
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,7,354,152,2.328947,77,0.506579,0.291118
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,8,354,152,2.328947,78,0.513158,0.291118
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,asap,next_cycle,8,1,2,8,4,354,92,3.847826,20,0.217391,0.480978
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,asap,next_cycle,8,1,2,8,5,354,75,4.72,11,0.146667,0.59
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,asap,next_cycle,8,1,2,8,6,354,64,5.53125,7,0.109375,0.691406
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,asap,next_cycle,8,1,2,8,7,354,56,6.321429,4,0.071429,0.790179
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,asap,next_cycle,8,1,2,8,8,354,50,7.08,2,0.04,0.885
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,ff_rate_matched,next_cycle,8,1,2,8,4,354,92,3.847826,2,0.021739,0.480978
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,ff_rate_matched,next_cycle,8,1,2,8,5,354,75,4.72,2,0.026667,0.59
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,ff_rate_matched,next_cycle,8,1,2,8,6,354,64,5.53125,2,0.03125,0.691406
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,ff_rate_matched,next_cycle,8,1,2,8,7,354,56,6.321429,2,0.035714,0.790179
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,ff_rate_matched,next_cycle,8,1,2,8,8,354,50,7.08,2,0.04,0.885
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,4,354,92,3.847826,3,0.032609,0.480978
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,5,354,74,4.783784,3,0.040541,0.597973
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,6,354,62,5.709677,2,0.032258,0.71371
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,7,354,54,6.555556,2,0.037037,0.819444
QAOA_H4_Q16_s0_shifted,shifted,QAOA,4,16,0,2,37,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,8,354,48,7.375,2,0.041667,0.921875
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,asap,next_cycle,8,1,2,8,4,324,121,2.677686,17,0.140496,0.334711
